player_id,player_name,position,sub_position,country_of_citizenship,age_at_season_end,previous_season_label,current_season_label,previous_clubs,current_clubs,previous_minutes_played,current_minutes_played,minutes_change,previous_goal_contributions_per_90,current_goal_contributions_per_90,goal_contributions_per_90_change,previous_ending_market_value_eur,current_ending_market_value_eur,market_value_change_eur,market_value_percentage_change,value_and_performance_growth_rank
274862,Moses Simon,Attack,Left Winger,Nigeria,26,2020-21,2021-22,FC Nantes,FC Nantes,2341,2351,10,0.423,0.536,0.113,7000000,10000000,3000000,42.86,467
425334,Matty Cash,Defender,Right-Back,Poland,24,2020-21,2021-22,Aston Villa,Aston Villa,2378,3380,1002,0.076,0.186,0.11,22000000,25000000,3000000,13.64,468
447661,Douglas Luiz,Midfield,Central Midfield,Brazil,24,2020-21,2021-22,Aston Villa,Aston Villa,2791,2722,-69,0.064,0.165,0.101,35000000,38000000,3000000,8.57,469
376514,Mathías Olivera,Defender,Left-Back,Uruguay,25,2021-22,2022-23,Getafe CF,SSC Napoli,2807,1635,-1172,0.128,0.22,0.092,15000000,18000000,3000000,20,470
324811,Arnaud Nordin,Attack,Right Winger,France,25,2021-22,2022-23,AS Saint-Étienne,Montpellier HSC,1876,2420,544,0.432,0.521,0.089,4000000,7000000,3000000,75,471
666234,Mohamed Simakan,Defender,Centre-Back,France,23,2021-22,2022-23,RB Leipzig,RB Leipzig,2009,1457,-552,0.045,0.124,0.079,22000000,25000000,3000000,13.64,472
410708,Pascal Struijk,Defender,Centre-Back,Netherlands,23,2021-22,2022-23,Leeds United,Leeds United,2051,2203,152,0.044,0.123,0.079,15000000,18000000,3000000,20,472
730893,Tyrick Mitchell,Defender,Left-Back,England,24,2022-23,2023-24,Crystal Palace,Crystal Palace,2896,3210,314,0.062,0.14,0.078,22000000,25000000,3000000,13.64,473
206912,Jimmy Cabot,Midfield,Right Midfield,France,28,2020-21,2021-22,Angers SCO,Angers SCO,940,2012,1072,0.191,0.268,0.077,2000000,5000000,3000000,150,474
300168,Mikel Vesga,Midfield,Defensive Midfield,Spain,30,2021-22,2022-23,Athletic Bilbao,Athletic Bilbao,1357,2574,1217,0.133,0.21,0.077,3000000,6000000,3000000,100,474
292808,Wout Faes,Defender,Centre-Back,Belgium,24,2020-21,2021-22,Stade Reims,Stade Reims,2901,3330,429,0.031,0.108,0.077,7000000,10000000,3000000,42.86,474
342385,Guido Rodríguez,Midfield,Defensive Midfield,Argentina,28,2020-21,2021-22,Real Betis Balompié,Real Betis Balompié,2870,2533,-337,0.031,0.107,0.076,22000000,25000000,3000000,13.64,475
535955,Nuno Tavares,Defender,Left-Back,Portugal,23,2021-22,2022-23,Arsenal FC,Olympique Marseille,1171,2350,1179,0.154,0.23,0.076,15000000,18000000,3000000,20,475
404842,Vitaliy Mykolenko,Defender,Left-Back,Ukraine,25,2022-23,2023-24,Everton FC,Everton FC,2655,2471,-184,0,0.073,0.073,25000000,28000000,3000000,12,476
295313,Taiwo Awoniyi,Attack,Centre-Forward,Nigeria,26,2022-23,2023-24,Nottingham Forest,Nottingham Forest,1411,1046,-365,0.702,0.774,0.072,25000000,28000000,3000000,12,477
282660,Maximilian Mittelstädt,Defender,Left-Back,Germany,28,2023-24,2024-25,VfB Stuttgart,VfB Stuttgart,2102,2476,374,0.257,0.327,0.07,17000000,20000000,3000000,17.65,478
469050,Nathan Collins,Defender,Centre-Back,Ireland,23,2022-23,2023-24,Wolverhampton Wanderers,Brentford FC,1812,2650,838,0,0.068,0.068,22000000,25000000,3000000,13.64,479
250779,Brendan Chardonnet,Defender,Centre-Back,France,29,2022-23,2023-24,Stade Brestois 29,Stade Brestois 29,2489,2970,481,0,0.061,0.061,5000000,8000000,3000000,60,480
624037,Joris Chotard,Midfield,Defensive Midfield,France,20,2020-21,2021-22,Montpellier HSC,Montpellier HSC,1155,2944,1789,0,0.061,0.061,7000000,10000000,3000000,42.86,480
497291,Nicolás Domínguez,Midfield,Central Midfield,Argentina,24,2020-21,2021-22,Bologna Football Club 1909,Bologna Football Club 1909,1256,2025,769,0.072,0.133,0.061,10000000,13000000,3000000,30,480
344152,Odsonne Édouard,Attack,Centre-Forward,France,26,2022-23,2023-24,Crystal Palace,Crystal Palace,1806,1555,-251,0.349,0.405,0.056,15000000,18000000,3000000,20,481
229006,Franck Honorat,Attack,Right Winger,France,25,2020-21,2021-22,Stade Brestois 29,Stade Brestois 29,2469,2911,442,0.474,0.526,0.052,7000000,10000000,3000000,42.86,482
60410,Marcos Acuña,Defender,Left-Back,Argentina,30,2020-21,2021-22,Sevilla FC,Sevilla FC,2331,2264,-67,0.116,0.159,0.043,15000000,18000000,3000000,20,483
532775,Melvin Bard,Defender,Left-Back,France,24,2023-24,2024-25,OGC Nice,OGC Nice,2661,1941,-720,0.101,0.139,0.038,12000000,15000000,3000000,25,484
260827,Joachim Andersen,Defender,Centre-Back,Denmark,26,2020-21,2021-22,"Fulham FC, Olympique Lyon",Crystal Palace,2921,2915,-6,0.062,0.093,0.031,22000000,25000000,3000000,13.64,485
216870,Nacho Vidal,Defender,Right-Back,Spain,27,2020-21,2021-22,CA Osasuna,CA Osasuna,2343,2906,563,0,0.031,0.031,2000000,5000000,3000000,150,485
569387,Valentin Gendrey,Defender,Right-Back,France,24,2022-23,2023-24,US Lecce,US Lecce,3104,3051,-53,0.116,0.147,0.031,4000000,7000000,3000000,75,485
249089,Lewis Cook,Midfield,Central Midfield,England,28,2023-24,2024-25,AFC Bournemouth,AFC Bournemouth,2792,2978,186,0.097,0.121,0.024,12000000,15000000,3000000,25,486
392757,Marc Guéhi,Defender,Centre-Back,England,23,2022-23,2023-24,Crystal Palace,Crystal Palace,3330,2023,-1307,0.027,0.044,0.017,35000000,38000000,3000000,8.57,487
649452,Issa Kaboré,Defender,Right-Back,Burkina Faso,23,2022-23,2023-24,Olympique Marseille,Luton Town,1020,1732,712,0.088,0.104,0.016,7000000,10000000,3000000,42.86,488
557149,Kang-in Lee,Midfield,Attacking Midfield,"Korea, South",23,2022-23,2023-24,RCD Mallorca,Paris Saint-Germain,2843,1472,-1371,0.412,0.428,0.016,22000000,25000000,3000000,13.64,488
291200,Moussa Niakhaté,Defender,Centre-Back,Senegal,26,2020-21,2021-22,1.FSV Mainz 05,1.FSV Mainz 05,2867,2567,-300,0.126,0.14,0.014,15000000,18000000,3000000,20,489
503991,Yunus Musah,Midfield,Central Midfield,United States,20,2021-22,2022-23,Valencia CF,Valencia CF,1236,2121,885,0.073,0.085,0.012,15000000,18000000,3000000,20,490
181378,Gaëtan Laborde,Attack,Centre-Forward,France,28,2020-21,2021-22,Montpellier HSC,"Montpellier HSC, Stade Rennais FC",3270,3086,-184,0.661,0.671,0.01,15000000,18000000,3000000,20,491
649452,Issa Kaboré,Defender,Right-Back,Burkina Faso,22,2021-22,2022-23,ESTAC Troyes,Olympique Marseille,2260,1020,-1240,0.08,0.088,0.008,4000000,7000000,3000000,75,492
144028,Leandro Trossard,Attack,Left Winger,Belgium,27,2020-21,2021-22,Brighton & Hove Albion,Brighton & Hove Albion,2618,2809,191,0.344,0.352,0.008,17000000,20000000,3000000,17.65,492
157509,Kurt Zouma,Defender,Centre-Back,France,29,2022-23,2023-24,West Ham United,West Ham United,1990,2839,849,0.09,0.095,0.005,22000000,25000000,3000000,13.64,493
